Age,RoomService,FoodCourt,ShoppingMall,VRDeck,Num,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,VIP_True,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_S
0.712,-0.341,-0.287,-0.291,-0.269,-1.177,True,False,False,False,True,False,False,False,False,False,False,False
-0.334,-0.175,-0.282,-0.249,-0.230,-1.177,False,False,False,False,False,False,False,False,True,False,False,True
2.037,-0.275,1.956,-0.291,-0.226,-1.177,True,False,False,True,False,False,False,False,False,False,False,True
0.294,-0.341,0.517,0.330,-0.099,-1.177,True,False,False,False,False,False,False,False,False,False,False,True
-0.892,0.119,-0.243,-0.038,-0.267,-1.175,False,False,False,False,False,False,False,False,True,False,False,True
1.061,-0.341,0.016,-0.291,-0.269,-1.177,False,False,False,False,False,False,False,False,True,False,False,False
-0.195,-0.277,0.678,-0.286,-0.269,-1.173,False,False,False,False,False,False,False,False,True,False,False,True
-0.055,-0.341,-0.287,-0.291,-0.000,-1.177,False,False,True,False,False,False,False,False,False,True,False,True
0.433,-0.341,0.205,-0.262,-0.269,-1.171,False,False,False,False,False,False,False,False,True,False,False,True
-1.031,-0.341,-0.287,-0.291,-0.269,-1.175,True,False,True,False,True,False,False,False,False,False,False,False
0.363,-0.341,-0.287,0.000,-0.269,-1.175,True,False,True,False,True,False,False,False,False,False,False,False
1.130,-0.281,4.288,0.695,-0.160,-1.175,True,False,False,False,True,False,False,False,False,False,False,False
0.224,-0.230,-0.287,1.589,-0.169,-1.175,False,True,False,False,False,False,False,False,True,False,False,False
1.340,0.749,-0.287,-0.182,-0.248,-1.175,False,False,False,False,False,False,False,False,False,True,False,True
-0.055,-0.328,0.324,-0.271,-0.263,-1.173,False,False,False,False,False,False,False,False,True,False,False,False
0.154,-0.292,-0.287,1.176,-0.269,-0.334,False,False,False,False,False,False,False,False,True,False,False,True
-0.125,1.609,-0.211,0.000,-0.269,-1.171,False,True,False,False,False,False,False,False,True,False,False,False
